"","gene","chrom","loc.start","loc.end","description","gene.name","biotype","chrom.strand","chrom.band"
"68","ENSG00000055070","1",16352575,16398145,"SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]","SZRD1","protein_coding",1,"p36.13"
"69","ENSG00000175087","1",26111165,26125555,"PDLIM1 interacting kinase 1 like [Source:HGNC Symbol;Acc:HGNC:18981]","PDIK1L","protein_coding",1,"p36.11"
"76","ENSG00000162511","1",30732469,30757774,"lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]","LAPTM5","protein_coding",-1,"p35.2"
"77","ENSG00000158014","1",26037252,26046118,"solute carrier family 30 member 2 [Source:HGNC Symbol;Acc:HGNC:11013]","SLC30A2","protein_coding",-1,"p36.11"
"78","ENSG00000204138","1",28369582,28500364,"phosphatase and actin regulator 4 [Source:HGNC Symbol;Acc:HGNC:25793]","PHACTR4","protein_coding",1,"p35.3"
"83","ENSG00000142675","1",26177484,26189884,"connector enhancer of kinase suppressor of Ras 1 [Source:HGNC Symbol;Acc:HGNC:19700]","CNKSR1","protein_coding",1,"p36.11"
"84","ENSG00000197245","1",26159079,26163962,"family with sequence similarity 110 member D [Source:HGNC Symbol;Acc:HGNC:25860]","FAM110D","protein_coding",1,"p36.11"
"85","ENSG00000130772","1",28329002,28335965,"mediator complex subunit 18 [Source:HGNC Symbol;Acc:HGNC:25944]","MED18","protein_coding",1,"p35.3"
"93","ENSG00000090020","1",27098809,27166981,"solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]","SLC9A1","protein_coding",-1,"p36.11"
"94","ENSG00000157978","1",25543606,25568886,"low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]","LDLRAP1","protein_coding",1,"p36.11"
"95","ENSG00000130770","1",28236109,28246906,"ATP synthase inhibitory factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:871]","ATP5IF1","protein_coding",1,"p35.3"
"97","ENSG00000162512","1",30869466,30908758,"syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]","SDC3","protein_coding",-1,"p35.2"
"98","ENSG00000158006","1",25959767,25998117,"platelet activating factor acetylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:8579]","PAFAH2","protein_coding",-1,"p36.11"
"100","ENSG00000126698","1",28199456,28233029,"DnaJ heat shock protein family (Hsp40) member C8 [Source:HGNC Symbol;Acc:HGNC:15470]","DNAJC8","protein_coding",-1,"p35.3"
"103","ENSG00000130766","1",28259518,28282491,"sestrin 2 [Source:HGNC Symbol;Acc:HGNC:20746]","SESN2","protein_coding",1,"p35.3"
"104","ENSG00000168528","1",31409565,31434680,"serine incorporator 2 [Source:HGNC Symbol;Acc:HGNC:23231]","SERINC2","protein_coding",1,"p35.2"
"105","ENSG00000196581","1",4654609,4792534,"adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]","AJAP1","protein_coding",1,"p36.32"
"106","ENSG00000169403","1",28147166,28193936,"platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]","PTAFR","protein_coding",-1,"p35.3"
"107","ENSG00000084628","1",31179745,31239887,"sodium/potassium transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:HGNC:25743]","NKAIN1","protein_coding",-1,"p35.2"
"108","ENSG00000060688","1",31259568,31296788,"small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]","SNRNP40","protein_coding",-1,"p35.2"
"109","ENSG00000171612","1",9539465,9585173,"solute carrier family 25 member 33 [Source:HGNC Symbol;Acc:HGNC:29681]","SLC25A33","protein_coding",1,"p36.22"
"111","ENSG00000188910","1",34781214,34786369,"gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]","GJB3","protein_coding",1,"p34.3"
"113","ENSG00000158161","1",27970344,28088637,"EYA transcriptional coactivator and phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3521]","EYA3","protein_coding",-1,"p35.3"
"114","ENSG00000142684","1",26169908,26170873,"zinc finger protein 593 [Source:HGNC Symbol;Acc:HGNC:30943]","ZNF593","protein_coding",1,"p36.11"
"115","ENSG00000121769","1",31365253,31376850,"fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]","FABP3","protein_coding",-1,"p35.2"
"116","ENSG00000142627","1",16124337,16156069,"EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]","EPHA2","protein_coding",-1,"p36.13"
"119","ENSG00000142632","1",16197854,16212652,"Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604]","ARHGEF19","protein_coding",-1,"p36.13"
"122","ENSG00000189337","1",13892792,15118043,"kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]","KAZN","protein_coding",1,"p36.21"
"125","ENSG00000028137","1",12166991,12209228,"TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]","TNFRSF1B","protein_coding",1,"p36.22"
"130","ENSG00000130939","1",10032832,10181239,"ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500]","UBE4B","protein_coding",1,"p36.22"
"132","ENSG00000127472","1",20028179,20091911,"phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]","PLA2G5","protein_coding",1,"p36.13"
"133","ENSG00000060656","1",29236516,29326813,"protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]","PTPRU","protein_coding",1,"p35.3"
"134","ENSG00000163867","1",34986165,35031945,"zinc finger MYM-type containing 6 [Source:HGNC Symbol;Acc:HGNC:13050]","ZMYM6","protein_coding",-1,"p34.3"
"137","ENSG00000189280","1",34755047,34758512,"gap junction protein beta 5 [Source:HGNC Symbol;Acc:HGNC:4287]","GJB5","protein_coding",1,"p34.3"
"138","ENSG00000134698","1",35808016,35857890,"argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]","AGO4","protein_coding",1,"p34.3"
"140","ENSG00000132881","1",16231692,16237183,"ciliogenesis and planar polarity effector complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28127]","CPLANE2","protein_coding",-1,"p36.13"
"141","ENSG00000273274","1",32465072,32496686,"zinc finger and BTB domain containing 8B [Source:HGNC Symbol;Acc:HGNC:37057]","ZBTB8B","protein_coding",1,"p35.1"
"144","ENSG00000009709","1",18630846,18748866,"paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]","PAX7","protein_coding",1,"p36.13"
"146","ENSG00000158008","1",26019884,26036464,"exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515]","EXTL1","protein_coding",1,"p36.11"
"147","ENSG00000130940","1",10636604,10796650,"castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002]","CASZ1","protein_coding",-1,"p36.22"
"148","ENSG00000163879","1",37556919,37566857,"dynein axonemal light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:14353]","DNALI1","protein_coding",1,"p34.3"
"150","ENSG00000116954","1",38838198,38859772,"Ras related GTP binding C [Source:HGNC Symbol;Acc:HGNC:19902]","RRAGC","protein_coding",-1,"p34.3"
"152","ENSG00000163873","1",36795527,37034515,"glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]","GRIK3","protein_coding",-1,"p34.3"
"153","ENSG00000117215","1",20111939,20119566,"phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]","PLA2G2D","protein_coding",-1,"p36.12"
"156","ENSG00000044012","1",42153410,42155820,"guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]","GUCA2B","protein_coding",1,"p34.2"
"157","ENSG00000179051","1",17406760,17439677,"regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]","RCC2","protein_coding",-1,"p36.13"
"162","ENSG00000126067","1",35599541,35641526,"proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]","PSMB2","protein_coding",-1,"p34.3"
"163","ENSG00000274944","1",38864501,38881617,"novel protein","","protein_coding",-1,"p34.3"
"170","ENSG00000054118","1",36224432,36305357,"thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]","THRAP3","protein_coding",1,"p34.3"
"171","ENSG00000254553","1",32465057,32600792,"novel transcript","","protein_coding",1,"p35.1"
"174","ENSG00000276747","1",17372196,17401699,"peptidyl arginine deiminase 6 [Source:HGNC Symbol;Acc:HGNC:20449]","PADI6","protein_coding",1,"p36.13"
"177","ENSG00000159339","1",17308195,17364004,"peptidyl arginine deiminase 4 [Source:HGNC Symbol;Acc:HGNC:18368]","PADI4","protein_coding",1,"p36.13"
"180","ENSG00000158315","1",38885807,38941830,"rhomboid like 2 [Source:HGNC Symbol;Acc:HGNC:16083]","RHBDL2","protein_coding",-1,"p34.3"
"181","ENSG00000186973","1",43145153,43156396,"cilia and flagella associated protein 144 [Source:HGNC Symbol;Acc:HGNC:34347]","CFAP144","protein_coding",1,"p34.2"
"182","ENSG00000146463","1",35268709,35422058,"zinc finger MYM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:13055]","ZMYM4","protein_coding",1,"p34.3"
"183","ENSG00000271741","1",34981533,35031741,"novel transcript, ZMYM6-ZMYM6NB readthrough","","protein_coding",-1,"p34.3"
"184","ENSG00000142686","1",35713877,35718894,"chromosome 1 open reading frame 216 [Source:HGNC Symbol;Acc:HGNC:26800]","C1orf216","protein_coding",-1,"p34.3"
"186","ENSG00000117148","1",17755333,17827063,"actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]","ACTL8","protein_coding",1,"p36.13"
"188","ENSG00000117000","1",40161387,40240921,"RLF zinc finger [Source:HGNC Symbol;Acc:HGNC:10025]","RLF","protein_coding",1,"p34.2"
"189","ENSG00000284989","1",43650149,43931014,"novel transcript","","protein_coding",1,"p34.2"
"191","ENSG00000092853","1",35720218,35769978,"claspin [Source:HGNC Symbol;Acc:HGNC:19715]","CLSPN","protein_coding",-1,"p34.3"
"193","ENSG00000134697","1",37566816,37595937,"G protein nucleolar 2 [Source:HGNC Symbol;Acc:HGNC:29925]","GNL2","protein_coding",-1,"p34.3"
"194","ENSG00000187513","1",34792999,34795747,"gap junction protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:4278]","GJA4","protein_coding",1,"p34.3"
"200","ENSG00000116151","1",2321253,2391707,"MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]","MORN1","protein_coding",-1,"p36.32"
"201","ENSG00000006555","1",54779712,54801323,"tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]","TTC22","protein_coding",-1,"p32.3"
"203","ENSG00000066056","1",43300982,43323108,"tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]","TIE1","protein_coding",1,"p34.2"
"204","ENSG00000214114","1",38862493,38873368,"MYC binding protein [Source:HGNC Symbol;Acc:HGNC:7554]","MYCBP","protein_coding",-1,"p34.3"
"205","ENSG00000116544","1",34865436,34929650,"DLG associated protein 3 [Source:HGNC Symbol;Acc:HGNC:30368]","DLGAP3","protein_coding",-1,"p34.3"
"209","ENSG00000117016","1",40620680,40665682,"regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]","RIMS3","protein_coding",-1,"p34.2"
"210","ENSG00000169213","1",51907956,51990700,"RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]","RAB3B","protein_coding",-1,"p32.3"
"211","ENSG00000163866","1",34712737,34859755,"small integral membrane protein 12 [Source:HGNC Symbol;Acc:HGNC:25154]","SMIM12","protein_coding",-1,"p34.3"
"217","ENSG00000285839","1",52020153,52033350,"novel transcript","","protein_coding",-1,"p32.3"
"219","ENSG00000162384","1",53214099,53220634,"CXXC motif containing zinc binding protein [Source:HGNC Symbol;Acc:HGNC:26059]","CZIB","protein_coding",-1,"p32.3"
"220","ENSG00000162391","1",54609181,54623556,"family with sequence similarity 151 member A [Source:HGNC Symbol;Acc:HGNC:25032]","FAM151A","protein_coding",-1,"p32.3"
"221","ENSG00000117859","1",51577179,51798427,"oxysterol binding protein like 9 [Source:HGNC Symbol;Acc:HGNC:16386]","OSBPL9","protein_coding",1,"p32.3"
"223","ENSG00000253313","1",43281877,43285617,"chromosome 1 open reading frame 210 [Source:HGNC Symbol;Acc:HGNC:28755]","C1orf210","protein_coding",-1,"p34.2"
"224","ENSG00000162396","1",54756898,54764523,"prolyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:30563]","PARS2","protein_coding",-1,"p32.3"
"225","ENSG00000284686","1",56173433,56524495,"novel transcript","","protein_coding",-1,"p32.2"
"226","ENSG00000162378","1",52726453,52827336,"zyg-11 family member B, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:25820]","ZYG11B","protein_coding",1,"p32.3"
"230","ENSG00000240563","1",62194849,62212328,"LINE1 type transposase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25595]","L1TD1","protein_coding",1,"p31.3"
"232","ENSG00000284773","1",34974356,34985313,"novel protein","","protein_coding",-1,"p34.3"
"234","ENSG00000117862","1",52020131,52055191,"thioredoxin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:24626]","TXNDC12","protein_coding",-1,"p32.3"
"244","ENSG00000243725","1",54715861,54742657,"tetratricopeptide repeat domain 4 [Source:HGNC Symbol;Acc:HGNC:12394]","TTC4","protein_coding",1,"p32.3"
"245","ENSG00000171872","1",44118821,44135140,"KLF transcription factor 17 [Source:HGNC Symbol;Acc:HGNC:18830]","KLF17","protein_coding",1,"p34.1"
"246","ENSG00000162407","1",56494761,56645301,"phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]","PLPP3","protein_coding",-1,"p32.2"
"248","ENSG00000163877","1",37534449,37554293,"Smad nuclear interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30587]","SNIP1","protein_coding",-1,"p34.3"
"253","ENSG00000157184","1",53196792,53214197,"carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330]","CPT2","protein_coding",1,"p32.3"
"254","ENSG00000198815","1",42176539,42335877,"forkhead box J3 [Source:HGNC Symbol;Acc:HGNC:29178]","FOXJ3","protein_coding",-1,"p34.2"
"255","ENSG00000134744","1",52408282,52553487,"terminal uridylyl transferase 4 [Source:HGNC Symbol;Acc:HGNC:28981]","TUT4","protein_coding",-1,"p32.3"
"258","ENSG00000283039","1",44137821,44141631,"KLF transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:51793]","KLF18","protein_coding",-1,"p34.1"
"265","ENSG00000162385","1",53226900,53238518,"mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]","MAGOH","protein_coding",-1,"p32.3"
"271","ENSG00000123080","1",50960745,50974634,"cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]","CDKN2C","protein_coding",1,"p32.3"
"276","ENSG00000162598","1",59987269,60073770,"chromosome 1 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:28547]","C1orf87","protein_coding",-1,"p32.1"
"278","ENSG00000162415","1",45016399,45306209,"zinc finger SWIM-type containing 5 [Source:HGNC Symbol;Acc:HGNC:29299]","ZSWIM5","protein_coding",-1,"p34.1"
"279","ENSG00000162600","1",58415384,58546802,"OMA1 zinc metallopeptidase [Source:HGNC Symbol;Acc:HGNC:29661]","OMA1","protein_coding",-1,"p32.1"
"280","ENSG00000116704","1",66999350,67054148,"solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]","SLC35D1","protein_coding",-1,"p31.3"
"281","ENSG00000157193","1",53242364,53328469,"LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]","LRP8","protein_coding",-1,"p32.3"
"282","ENSG00000116205","1",54053584,54112519,"transcription elongation factor A N-terminal and central domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26494]","TCEANC2","protein_coding",1,"p32.3"
"283","ENSG00000198841","1",52032103,52033810,"KTI12 chromatin associated homolog [Source:HGNC Symbol;Acc:HGNC:25160]","KTI12","protein_coding",-1,"p32.3"
"284","ENSG00000116212","1",53946085,53968168,"leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792]","LRRC42","protein_coding",1,"p32.3"
"289","ENSG00000132854","1",62236165,62319434,"KN motif and ankyrin repeat domains 4 [Source:HGNC Symbol;Acc:HGNC:27263]","KANK4","protein_coding",-1,"p31.3"
"291","ENSG00000162607","1",62436297,62451804,"ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]","USP1","protein_coding",1,"p31.3"
"294","ENSG00000154027","1",77282019,77559966,"adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]","AK5","protein_coding",1,"p31.1"
"299","ENSG00000137960","1",77979542,78138444,"GIPC PDZ domain containing family member 2 [Source:HGNC Symbol;Acc:HGNC:18177]","GIPC2","protein_coding",1,"p31.1"
"301","ENSG00000116745","1",68428822,68449954,"retinoid isomerohydrolase RPE65 [Source:HGNC Symbol;Acc:HGNC:10294]","RPE65","protein_coding",-1,"p31.3"
"302","ENSG00000132855","1",62597520,62606313,"angiopoietin like 3 [Source:HGNC Symbol;Acc:HGNC:491]","ANGPTL3","protein_coding",1,"p31.3"
"307","ENSG00000116675","1",65248219,65415871,"DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]","DNAJC6","protein_coding",1,"p31.3"
"308","ENSG00000162433","1",65147549,65232145,"adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]","AK4","protein_coding",1,"p31.3"
"309","ENSG00000213625","1",65420587,65436007,"leptin receptor overlapping transcript [Source:HGNC Symbol;Acc:HGNC:29477]","LEPROT","protein_coding",1,"p31.3"
"313","ENSG00000158966","1",64470129,64693058,"cache domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29314]","CACHD1","protein_coding",1,"p31.3"
"315","ENSG00000203965","1",63523372,63572693,"EF-hand calcium binding domain 7 [Source:HGNC Symbol;Acc:HGNC:29379]","EFCAB7","protein_coding",1,"p31.3"
"318","ENSG00000153898","1",84925583,84997113,"mucolipin TRP cation channel 2 [Source:HGNC Symbol;Acc:HGNC:13357]","MCOLN2","protein_coding",-1,"p22.3"
"319","ENSG00000117069","1",76867480,77067546,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:19342]","ST6GALNAC5","protein_coding",1,"p31.1"
"320","ENSG00000125703","1",62784132,62865516,"autophagy related 4C cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16040]","ATG4C","protein_coding",1,"p31.3"
"329","ENSG00000162618","1",78889764,79282124,"adhesion G protein-coupled receptor L4 [Source:HGNC Symbol;Acc:HGNC:20822]","ADGRL4","protein_coding",-1,"p31.1"
"331","ENSG00000131233","1",38874069,38881587,"gap junction protein alpha 9 [Source:HGNC Symbol;Acc:HGNC:19155]","GJA9","protein_coding",-1,"p34.3"
"341","ENSG00000137941","1",83865024,83999150,"tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]","TTLL7","protein_coding",-1,"p31.1"
"344","ENSG00000066135","1",43650149,43705518,"lysine demethylase 4A [Source:HGNC Symbol;Acc:HGNC:22978]","KDM4A","protein_coding",1,"p34.2"
"349","ENSG00000284895","1",41585306,41628816,"novel protein","","protein_coding",-1,"p34.2"
"350","ENSG00000117174","1",85649417,85708433,"zinc finger HIT-type containing 6 [Source:HGNC Symbol;Acc:HGNC:26089]","ZNHIT6","protein_coding",-1,"p22.3"
"352","ENSG00000184313","1",54641754,54710266,"maestro heat like repeat family member 7 [Source:HGNC Symbol;Acc:HGNC:24802]","MROH7","protein_coding",1,"p32.3"
"356","ENSG00000122420","1",78303884,78540701,"prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]","PTGFR","protein_coding",1,"p31.1"
"359","ENSG00000143013","1",87328880,87348923,"LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]","LMO4","protein_coding",1,"p22.3"
"361","ENSG00000134748","1",52404602,52420836,"pre-mRNA processing factor 38A [Source:HGNC Symbol;Acc:HGNC:25930]","PRPF38A","protein_coding",1,"p32.3"
"362","ENSG00000142892","1",77088989,77219430,"phosphatidylinositol glycan anchor biosynthesis class K [Source:HGNC Symbol;Acc:HGNC:8965]","PIGK","protein_coding",-1,"p31.1"
"371","ENSG00000197273","1",42162690,42164745,"guanylate cyclase activator 2A [Source:HGNC Symbol;Acc:HGNC:4682]","GUCA2A","protein_coding",-1,"p34.2"
"376","ENSG00000116641","1",62454298,62688386,"dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]","DOCK7","protein_coding",-1,"p31.3"
"378","ENSG00000172260","1",71395943,72282539,"neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]","NEGR1","protein_coding",-1,"p31.1"
"383","ENSG00000137944","1",88935773,88992953,"kynurenine aminotransferase 3 [Source:HGNC Symbol;Acc:HGNC:33238]","KYAT3","protein_coding",-1,"p22.2"
"386","ENSG00000182183","1",52633168,52669683,"shisa like 2A [Source:HGNC Symbol;Acc:HGNC:28757]","SHISAL2A","protein_coding",1,"p32.3"
"388","ENSG00000271949","1",89633140,89933250,"novel transcript, LRRC8C-LRRC8D readthrough","","protein_coding",1,"p22.2"
"390","ENSG00000067334","1",93866284,93879918,"deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]","DNTTIP2","protein_coding",-1,"p22.1"
"395","ENSG00000142949","1",43525187,43623666,"protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]","PTPRF","protein_coding",1,"p34.2"
"396","ENSG00000116133","1",54849627,54887195,"24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]","DHCR24","protein_coding",-1,"p32.3"
"398","ENSG00000171502","1",85729233,86156943,"collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821]","COL24A1","protein_coding",-1,"p22.3"
"399","ENSG00000116157","1",52602371,52609051,"glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]","GPX7","protein_coding",1,"p32.3"
"400","ENSG00000143036","1",94820342,94895246,"solute carrier family 44 member 3 [Source:HGNC Symbol;Acc:HGNC:28689]","SLC44A3","protein_coding",1,"p21.3"
"402","ENSG00000065243","1",88684222,88836255,"protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]","PKN2","protein_coding",1,"p22.2"
"411","ENSG00000117528","1",94418389,94518666,"ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]","ABCD3","protein_coding",1,"p21.3"
"412","ENSG00000271723","1",54641786,54742308,"MROH7-TTC4 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49180]","MROH7-TTC4","protein_coding",1,"p32.3"
"413","ENSG00000172339","1",94974405,95072951,"ALG14 UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:28287]","ALG14","protein_coding",-1,"p21.3"
"414","ENSG00000036549","1",77562416,77683419,"zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]","ZZZ3","protein_coding",-1,"p31.1"
"416","ENSG00000058799","1",53851719,53889798,"Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]","YIPF1","protein_coding",-1,"p32.3"
"422","ENSG00000203985","1",54007298,54018186,"low density lipoprotein receptor class A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32069]","LDLRAD1","protein_coding",-1,"p32.3"
"424","ENSG00000283761","1",99970011,100083321,"novel protein","","protein_coding",1,"p21.2"
"425","ENSG00000189433","1",34759740,34762327,"gap junction protein beta 4 [Source:HGNC Symbol;Acc:HGNC:4286]","GJB4","protein_coding",1,"p34.3"
